,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
21453,62366,1616.0,39.7,43942.0,19643.0,335.0
21454,62367,826.0,51.6,38393.0,23375.0,159.0
21455,62370,364.0,51.4,39338.0,20898.0,78.0
21456,62373,269.0,46.4,66250.0,34579.0,0.0
21457,62374,301.0,51.8,30125.0,24679.0,22.0
21458,62375,267.0,49.3,96719.0,39890.0,2.0
21459,62376,1133.0,46.7,47708.0,28855.0,91.0
21460,62378,968.0,51.2,56250.0,27311.0,45.0
21461,62379,1795.0,42.7,51983.0,26504.0,246.0
21462,62380,343.0,34.8,-666666666.0,20149.0,34.0
21463,62401,18647.0,40.0,50290.0,30139.0,2457.0
21464,62410,1197.0,35.2,59286.0,22999.0,138.0
21465,62411,4271.0,40.8,53144.0,27910.0,470.0
21466,62413,382.0,44.2,65714.0,22881.0,60.0
21467,62414,1948.0,39.3,40547.0,23882.0,452.0
21468,62417,3117.0,43.0,47296.0,24925.0,162.0
21469,62418,1851.0,42.4,52115.0,28235.0,248.0
21470,62419,310.0,54.7,47917.0,28762.0,15.0
21471,62420,4756.0,38.9,45758.0,27342.0,665.0
21472,62421,654.0,38.5,68958.0,26402.0,22.0
21473,62422,1003.0,44.9,38214.0,22719.0,206.0
21474,62423,555.0,37.3,69444.0,28826.0,154.0
21475,62424,2360.0,34.9,60924.0,27722.0,215.0
21476,62425,503.0,51.0,51125.0,29356.0,84.0
21477,62426,862.0,44.7,40000.0,22775.0,60.0
21478,62427,1719.0,38.2,60588.0,27633.0,94.0
21479,62428,2745.0,45.4,43512.0,22995.0,478.0
21480,62431,1082.0,46.6,40167.0,20487.0,228.0
21481,62432,376.0,48.4,50556.0,34147.0,34.0
21482,62433,919.0,48.5,46827.0,25856.0,106.0
21483,62434,300.0,53.8,50000.0,28830.0,11.0
21484,62436,773.0,35.6,43676.0,18800.0,92.0
21485,62438,332.0,35.1,43438.0,17524.0,50.0
21486,62439,7243.0,43.7,42714.0,25045.0,1491.0
21487,62440,1330.0,37.3,58625.0,26074.0,118.0
21488,62441,6771.0,43.7,55246.0,31440.0,1194.0
21489,62442,2747.0,44.0,51188.0,25585.0,235.0
21490,62443,1676.0,37.8,53750.0,21427.0,145.0
21491,62444,279.0,45.3,41528.0,27711.0,27.0
21492,62445,1200.0,35.6,64464.0,25084.0,59.0
21493,62446,397.0,45.6,68125.0,30778.0,11.0
21494,62447,3693.0,47.6,47533.0,25189.0,558.0
21495,62448,5560.0,45.1,51675.0,25765.0,742.0
21496,62449,3058.0,42.7,43598.0,27964.0,324.0
21497,62450,12317.0,42.1,43484.0,24568.0,1927.0
21498,62451,2024.0,48.5,43295.0,24675.0,325.0
21499,62452,389.0,40.3,37432.0,20012.0,116.0
21500,62454,11164.0,41.6,47566.0,25755.0,1140.0
21501,62458,1955.0,45.8,42308.0,21862.0,336.0
21502,62459,309.0,33.0,44375.0,28668.0,83.0
21503,62460,1179.0,44.1,40658.0,21633.0,144.0
21504,62461,693.0,50.0,63000.0,33407.0,37.0
21505,62462,962.0,36.3,46450.0,24253.0,53.0
21506,62463,1242.0,40.6,53438.0,24383.0,162.0
21507,62465,998.0,36.8,70833.0,28914.0,49.0
21508,62466,4942.0,35.1,45476.0,12208.0,489.0
21509,62467,4171.0,36.7,80545.0,33352.0,115.0
21510,62468,2720.0,40.2,59327.0,26029.0,403.0
21511,62469,553.0,37.7,71648.0,29004.0,9.0
21512,62471,10319.0,39.6,47013.0,20451.0,1388.0
21513,62473,1567.0,36.9,61875.0,23900.0,184.0
21514,62474,987.0,46.2,56103.0,26770.0,92.0
21515,62475,385.0,60.0,60402.0,27691.0,56.0
21516,62476,1645.0,44.2,48000.0,25138.0,165.0
21517,62477,944.0,43.6,52813.0,24177.0,29.0
21518,62478,386.0,42.7,64219.0,27072.0,27.0
21519,62479,1010.0,34.6,63487.0,21498.0,60.0
21520,62480,480.0,52.9,40114.0,21090.0,85.0
21521,62481,470.0,37.3,63566.0,23673.0,35.0
21522,62501,2792.0,45.7,76164.0,35938.0,106.0
21523,62510,1747.0,37.7,45938.0,24236.0,251.0
21524,62512,465.0,36.0,59464.0,30834.0,18.0
21525,62513,1744.0,34.0,51292.0,22110.0,284.0
21526,62514,254.0,37.5,78500.0,24022.0,45.0
21527,62515,996.0,45.7,57361.0,29821.0,127.0
21528,62517,174.0,39.8,38438.0,17399.0,29.0
21529,62518,228.0,57.5,53355.0,33783.0,6.0
21530,62519,82.0,58.9,64167.0,46900.0,0.0
21531,62520,1525.0,47.5,76500.0,41772.0,96.0
21532,62521,35563.0,43.0,53892.0,31254.0,5274.0
21533,62522,15442.0,36.2,44325.0,24852.0,3339.0
21534,62523,1450.0,33.0,11091.0,7172.0,678.0
21535,62526,32926.0,40.1,39932.0,23824.0,6846.0
21536,62530,1442.0,45.6,63419.0,35535.0,85.0
21537,62531,1848.0,42.4,67500.0,31750.0,189.0
