State,City,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount
MO,Fremont,180,64.1,35641.0,24739.0,12
MO,French Village,810,56.5,33750.0,27649.0,19
MO,Friedheim,474,37.3,60250.0,22333.0,64
MO,Frohna,1079,43.1,60250.0,25680.0,74
MO,Fulton,21460,36.1,48726.0,21570.0,3097
MO,Gainesville,3086,53.0,30176.0,15606.0,1054
MO,Galena,4889,50.7,39712.0,24727.0,827
MO,Gallatin,2913,47.3,45250.0,25960.0,249
MO,Galt,605,51.3,44444.0,23203.0,50
MO,Garden City,3675,44.0,48537.0,24588.0,406
MO,Garrison,141,42.8,37917.0,19312.0,4
MO,Gatewood,650,45.3,41875.0,25162.0,132
MO,Gentry,150,45.7,46250.0,19814.0,2
MO,Gerald,3238,40.2,52112.0,24799.0,226
MO,Gibbs,117,42.9,44219.0,21698.0,39
MO,Gibson,172,28.5,23036.0,7450.0,93
MO,Gideon,1517,44.4,34000.0,16574.0,332
MO,Gilliam,413,48.8,59722.0,25808.0,36
MO,Gilman City,880,33.0,43958.0,22674.0,185
MO,Glasgow,1961,43.6,57188.0,31870.0,149
MO,Glenallen,1420,44.7,40978.0,17228.0,261
MO,Glencoe,7260,45.6,125441.0,56074.0,396
MO,Glenwood,276,51.0,32833.0,15899.0,39
MO,Golden,1298,62.6,26944.0,25736.0,300
MO,Golden City,1296,47.0,44038.0,24627.0,178
MO,Goodman,2775,48.9,45508.0,22098.0,525
MO,Gorin,352,30.0,31731.0,11833.0,205
MO,Gower,2435,46.0,60078.0,28631.0,215
MO,Graff,155,35.0,35750.0,12232.0,37
MO,Graham,375,48.2,50625.0,26901.0,81
MO,Grain Valley,17617,34.8,70814.0,28984.0,1143
MO,Granby,4975,39.7,41886.0,26944.0,580
MO,Grandin,598,54.0,28550.0,21276.0,110
MO,Grandview,25201,33.0,44631.0,22514.0,4122
MO,Grant City,1427,45.7,47159.0,22607.0,197
MO,Gravois Mills,4550,58.6,33721.0,23608.0,1122
MO,Gray Summit,661,33.1,55833.0,28454.0,29
MO,Green Castle,707,49.1,37632.0,18365.0,103
MO,Green City,895,44.2,36667.0,21475.0,98
MO,Green Ridge,1274,44.4,51711.0,23870.0,165
MO,Greenfield,2568,48.3,36334.0,18604.0,756
MO,Greentop,1811,43.7,46406.0,21589.0,381
MO,Greenville,1720,47.1,28095.0,19965.0,417
MO,Greenwood,8567,37.8,95162.0,38784.0,507
MO,Grover,8119,40.1,103911.0,46440.0,126
MO,Grovespring,1361,38.6,31944.0,15421.0,314
MO,Grubville,629,42.4,62375.0,27469.0,47
MO,Guilford,185,38.3,62778.0,28812.0,6
MO,Hale,1160,43.1,48077.0,20748.0,217
MO,Half Way,2883,31.9,41218.0,19196.0,314
MO,Hallsville,4292,34.5,56074.0,25094.0,742
